sentence1,relation,relationscore,structure,structurescore
"""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman.","""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said State Board of Elections chairman Gilles W. Burger.",4,"""Fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman, we believe.",4
"Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.",Thomson First Call says analysts expected earnings of 27 cents a share on revenue of $17.7 billion.,4,"Earnings of 27 cents a share on revenue of $17.7 billion, analysts expected, Thomson First Call says.",3
Another was in serious condition at Northwest Medical Center in Springdale.,In serious condition at Northwest Medical Center in Springdale was another.,2,"In Northwest Medical Center in Springdale, another was in serious condition.",5
"Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring down the NYSE's 27-member board, changing its composition and making it more accountable.","Also suggested paring down the NYSE's 27-member board, changing its composition and making it more accountable was Sean Harrigan, president of the California Public Employees' Retirement System.",3,"Paring down the NYSE's 27-member board, changing its composition and making it more accountable, Sean Harrigan, president of the California Public Employees' Retirement System, also suggested.",5
The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.,Also meeting on Wednesday and widely expected to announce a cut on Thursday was the Swedish central bank.,4,"Widely expected to announce a cut on Thursday, the Swedish central bank was also meeting on Wednesday.",4
"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.","Found abandoned in a Virginia Beach, Va., parking lot June 25 was his 1996 Chevrolet Tahoe.",2,"Abandoned in a Virginia Beach, Va., parking lot June 25, his 1996 Chevrolet Tahoe was found.",5
Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.,Sixth in the league in goals last season with 41 and ninth in points with 89 was Heatley.,3,"With 41 goals, Heatley was sixth in the league last season and ninth in points with 89.",5
"""Tony's not feeling well,"" Spurs coach Gregg Popovich said.","""Spurs coach Gregg Popovich said,"" Tony's not feeling well.",2,"""Tony's not feeling well,"" said Spurs coach Gregg Popovich.",5
Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.,"Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy, Electronic Data Systems Corp.",4,Documents related to its large contract with the U.S. Navy have been requested by the Securities and Exchange Commission from Electronic Data Systems Corp. on Thursday.,4
"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Foreign companies engaging in damaging logging and fishing operations without proper monitoring or export controls have been allowed due to the dolphin scheme and the chaos.,3,"Allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls, the chaos has, as well as the dolphin scheme.",2
The next court session will be when the three-judge tribunal announces its verdict in mid-February.,The three-judge tribunal will announce its verdict in mid-February during the next court session.,4,"When the three-judge tribunal announces its verdict in mid-February, will be the next court session.",3
The consensus among Wall Street analysts was for a loss of 28 cents a share.,Wall Street analysts' consensus was for a loss of 28 cents a share.,4,"For a loss of 28 cents a share, the consensus among Wall Street analysts was.",5
"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","Even as companies slashed payrolls by 93,000, the civilian unemployment rate marginally improved last month, slipping to 6.1 percent.",3,"Even as companies slashed payrolls by 93,000, the civilian unemployment rate marginally improved last month, slipping to 6.1 percent.",4
Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,"In another study, the results need to be replicated before the testing of individuals for the presence of the long or short versions of the gene will be pursued, according to Moffitt.",4,"Need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued, said Moffitt, the results.",3
The compensation committee will prohibit securities industry directors from sitting on it.,Securities industry directors will be prohibited from sitting on the compensation committee.,4,"Prohibit securities industry directors from sitting on it, will the compensation committee.",3
Q: Can I buy coverage for prescription drugs right away?,Q: Is it possible to purchase coverage for prescription drugs immediately?,5,"A: Right away, can I buy coverage for prescription drugs?",5
"Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.","Before the earnings were announced, shares of Mandalay closed down eight cents to $29.42.",4,"Before the earnings were announced, shares of Mandalay closed down eight cents to $29.42.",4
"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.","In 1999, the Port Authority of New York and New Jersey, the building's owners, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",4,"Issued guidelines to upgrade the fireproofing to a thickness of 1{ inches, in 1999, the building's owners, the Port Authority of New York and New Jersey, did.",5
"The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.","Close to its strongest level since April 30, the dollar was last at $1.1149 to the euro.",4,"Close to its strongest level since April 30, the dollar was last at $1.1149 to the euro.",4
"The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.","135.13 yen rose as far as the single currency, matching a record high hit shortly after the euro's launch in January 1999.",2,"As far as 135.13 yen, rose the single currency, matching a record high hit shortly after the euro's launch in January 1999.",2
"A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.",The state's Department of Health reported that a New Castle County woman has become the first Delaware patient to contract the West Nile virus this year.,4,"The first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported, has become a New Castle County woman.",5
